CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,
Iceland,ISL,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,0,,"	"
Israel,ISR,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,0,,"	"
Italy,ITA,20200318,2,1,,2,1,,2,1,,1,0,"Law passed giving government powers to reduce services to minimum that is essential, but unclear whether/when powers used.

http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299
(Translated: 'The President of the Region with the ordinance referred to in article 3, paragraph 2, of the law decree of 23 February 2020 n. 6, can schedule the service provided by local public transport companies, even if not scheduled, aimed at reducing and eliminating services in relation to the health interventions necessary to contain the coronavirus emergency based on actual needs and for the sole purpose to ensure the minimum essential services... The provisions of this decree take effect from March 12, 2020 and are effective until March 25, 2020.')",1,1,,2,1,,3,,,,,,,,,,27980,2158,90,"	"
Jamaica,JAM,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,"	"
Jordan,JOR,20200318,2,1,https://jo.usembassy.gov/covid-19-information/,2,1,https://jo.usembassy.gov/covid-19-information/,2,1,https://jo.usembassy.gov/covid-19-information/,2,1,https://jo.usembassy.gov/covid-19-information/,,,,,,,,,,,,,,,,,16,0,57,"	"
Japan,JPN,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,28,,"	"
Kazakhstan,KAZ,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,,"	"
Kenya,KEN,20200318,2,1,,2,1,,2,1,,0,,,,,,0,,,3,,0,,8,,0,,0,,3,0,57,"	"
Cambodia,KHM,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,,"	"
South Korea,KOR,20200318,2,1,,1,1,,1,1,,0,,,1,1,,2,0,,3,,0,,0.75,,0,,,,8320,81,71,"	"
Kuwait,KWT,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0,,"	"
Laos,LAO,20200318,2,1,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,33,"	"
Lebanon,LBN,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,3,,"	"
Liberia,LBR,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,"	"
Saint Lucia,LCA,20200318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,"	"
